Type of AN,Date,Name of Corporate Debtor (Table),Date of Auction (Table),Name of Insolvency Professional (Table),Auction Notice URL,Reserve Price (Table),Nature of Assets (Table),Last Date of EMD (Table),Details URL
Issue of Auction Notice,26-08-2025,saibhaskar Irons Limited,24-09-2025,Dr. Kondapalli Venkat Srinivas,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-26-083953-0fodu-58c84e8c5ab86daa0a1536803f36653a.pdf,"2,95,24,500",Sale of business of ...Sale of business of the corporate debtor as a going concern basis as per regulation 32 (f) read with Regualtion 32 A and 33 (1) of IBBI ( Liquidation Process) Regulations 2016,21-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756177798_8654.pdf
Issue of Auction Notice,26-08-2025,saibhaskar Irons Limited,23-09-2025,Dr. Kondapalli Venkat Srinivas,https://ibbi.gov.in/uploads/auction_notice_liquidation/58c84e8c5ab86daa0a1536803f36653a.pdf,"2,95,24,500",Sale of company as a...Sale of company as a going concern basis as per regulation 32(e) read with Regulation 32 A and 33(1) of IBBI Liquidation process regulations 2016,20-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756177574_8653.pdf
Issue of Auction Notice,25-08-2025,IDEB PROJECTS PRIVATE LIMITED,26-09-2025,Mr. Velayudham Jayavel,https://ibbi.gov.in/uploads/auction_notice_liquidation/5b503a04b30adcf5a1e19ad3919ce6c3.pdf,"60,00,000",Land and Building,24-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756101274_8651.pdf
Issue of Auction Notice,24-08-2025,SHEBA MARINE ENGINEERING PRIVATE LIMITED,11-09-2025,Prakul Thadi,https://ibbi.gov.in/uploads/auction_notice_liquidation/6b3307fa939cdf4a9ed35cbf1d276a9a.pdf,"7,08,485","Sale of all plant an...Sale of all plant and machinery comprising the manufacturing unit  together with all  related fixtures, fittings, tools, spares, accessories, and auxiliary equipment installed or  used in connection therewith, on “as is where is”, “as is what is basis”, “whatever there is  basis” and “no recourse basis”.

MAIN PLANT AND MACHINERY
 a) Mig-Welder – 3 (Quantity)
 b) Padestal Drilling Machine - 1 (Quantity)
 c) Gas Welding Set - 1 (Quantity)
 d) Rachet Lever Hoist Chain Block - 7 (Quantity)
 e) Boat Support Stand- 3 Feet (2 nos), 4 Feet (4 nos), 5 Feet (6 nos), 6 Feet (1 nos)
 f) Working Stand - 8 Feet - 1 (Quantity)

 2) ) UTILITIES & ACCESSORIES
 a) Air-Compressor Elgi Make - 7.5 Hp - 1 (Quantity)
 b) 1 Ton Material Handling Lift - 1 (Quantity)
 c) Sloted Rack - 2 (Quantity)
 d) Steel Almarah - 2 (Quantity)

 3) MISCELLANEOUS ASSETS
 a) Sheba 7m - ( Boat Skelton ) At Tindivanam - 1 (Quantity)
 b) Powertec Jetski- Unfit Condition -Engine Dismantled – 1 (Quantity)
 c) Jetski Display Stand - 1 (Quantity)
 d) Trolley For Boat Displacment - 1 (Quantity)
 e) Power-Tec 2 Hp Engine - 1 (Quantity)
 f) Power-Tec Tank With Hose - 1 (Quantity)
 g) Power-Tec 6 Hp Engine Propeller - 1 (Quantity)
 h) Head Cover- 2 (Quantity)
 i)
 Yamaha Obm And Powertec Spares – 1 Lot
 j) Gas Cylinder -Feresco Argon Gas - 1 (Quantity)
 k) Office Furniture – 1 set
 l)
 Ro-Water Purifier For Drinking - 1 (Quantity)
 m) 1.5 ton split ac for office purpose - 1 (Quantity)
 n) Aluminium scrap -300 kg – 1 lot",09-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756049274_8648.pdf
Issue of Auction Notice,24-08-2025,SHEBA MARINE ENGINEERING PRIVATE LIMITED,11-09-2025,Prakul Thadi,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-24-210017-tolgb-6b3307fa939cdf4a9ed35cbf1d276a9a.pdf,"25,47,450","Sale of Sheba 725 (B...Sale of Sheba 725 (Boat Skeleton) – 8.2 M, three (3) units in total, located at 5th Street, Opposite  Amazon Warehouse, Thirumazhisai, Tamil Nadu – 600124, India, together with all associated 
fixtures, fittings, and accessories forming part thereof, if any, on “as is where is”, “as is what is”,  “whatever there is”, and “no recourse” basis.",09-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1756049417_8650.pdf
Corrigendum,22-08-2025,Vindhya Cereals Pvt Ltd,22-09-2025,Mr. Sajjan Kumar Dokania,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-22-155921-ktiv7-ab063e3d191554b06a874864a903628b.pdf,"18,00,000","The Assets forming p...The Assets forming part of the Liquidation Estate- Only 1 asset i.e., Freehold land (Land Locked) measuring 2104.36 sqm / 0.52 Acre at Khasara No 167/2/4, PH No. 08, Gram Obedullagunj, Teh. Goharganj, Dist: Raisen (M.P) Pin Code: 464993",19-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755858561_8643.pdf
Issue of Auction Notice,22-08-2025,AGNIPA ENERGO PRIVATE LIMITED,19-09-2025,SUDHA SARMA,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-22-141043-4mh5l-7dd5f8bc1ecf1fc2f5b3d541435580f4.pdf,"16,00,000","Option B- Sale of Pl...Option B- Sale of Plant and Machinery of the Corporate Debtor in parcels as per Regulation 32(d) of the IBBI Liquidation Process Regulation 2016.To note if highest bidder under Option A offers bid value as mentioned above, H1 bidder under Option A shall be declared as the successful bidder and E-Auction under Option B shall stand cancelled.
GST will be payable by the successful bidder in addition to the bid amount at applicable rates in case of Option B.
Asset ID- 1497, Auction ID- 1436",17-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755853628_8642.pdf
Issue of Auction Notice,22-08-2025,AGNIPA ENERGO PRIVATE LIMITED,19-09-2025,SUDHA SARMA,https://ibbi.gov.in/uploads/auction_notice_liquidation/7dd5f8bc1ecf1fc2f5b3d541435580f4.pdf,"1,95,00,000","Option A- Sale of Co...Option A- Sale of Corporate Debtor as a going concern (without liabilities)as per Regulation 32 (e) of the IBBI Liquidation Process Regulation 2016 along with all its assets, rights, authorities, licenses, permits, NOCs, leasehold rights, actionable claims benefits, but EXCLUDING any cash and bank balances thereof, on ""as is where is basis"", "" as is what is basis"", ""whatever there is basis"" and "" no recourse basis""
Asset ID- 2202, Auction ID-1434",17-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755852988_8641.pdf
Issue of Auction Notice,22-08-2025,FUTURE RETAIL LIMITED,01-09-2025,Mr. Sanjay Gupta,https://ibbi.gov.in/uploads/auction_notice_liquidation/47c1f7bb5b91259d5da53dda591a0184.pdf,"2,33,814",PPE- Scrap of Furnit...PPE- Scrap of Furniture & Misc in scrap or damaged condition,29-08-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755850496_8640.pdf
Issue of Auction Notice,22-08-2025,YASHKIRTI TOURS AND TRAVELS PRIVATE LIMITED,19-09-2025,Mr. Suhas Dinkar Bhattbhatt,https://ibbi.gov.in/uploads/auction_notice_liquidation/e2c668585afe498069f079fea9d19a44.pdf,"8,44,730",immovable property- ...immovable property- flat,16-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755843663_8639.pdf
Issue of Auction Notice,21-08-2025,DNB IMPEX PRIVATE LIMITED,25-09-2025,Ms. Sunil Kumar Kedia,https://ibbi.gov.in/uploads/auction_notice_liquidation/61eb35fa1fb8ff115fbd5c9566765d4f.pdf,"3,72,600",Plant & Machinery,22-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755775151_8638.pdf
Issue of Auction Notice,21-08-2025,BASE CORPORATION LIMITED,18-09-2025,Mr. Konduru Prasanth Raju,https://ibbi.gov.in/uploads/auction_notice_liquidation/f7afd8528d919c2f5efff74e371725b1.pdf,"60,81,98,177.19","Unit-Solan as a Goin...Unit-Solan as a Going Concern, Plant and Machinery, Non-Core Assets",15-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755758507_8637.pdf
Issue of Auction Notice,21-08-2025,TEXORANGE CORPORATION LIMITED,18-09-2025,Mr. Ritesh Prakash Adatiya,https://ibbi.gov.in/uploads/auction_notice_liquidation/c5bab1614ab00e83af466a2ae05900ec.pdf,"61,56,000",Land and Building,16-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755755807_8636.pdf
Issue of Auction Notice,20-08-2025,Pratibha Industries Limited,19-09-2025,Mr. Avil Jerome Menezes,https://ibbi.gov.in/uploads/auction_notice_liquidation/d785cbbffb16629da272260bc9ef417c.pdf,"46,70,294",Mercedes Benz S-350 ...Mercedes Benz S-350 (MH04 HD 0006) and BMW 7 series 730Ld Eminence (MH04GR9009),15-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755684943_8633.pdf
Issue of Auction Notice,20-08-2025,SUPREME OVERSEAS EXPORTS INDIA PVT LTD.,12-09-2025,Ms. Ramanathan Bhuvaneshwari,https://ibbi.gov.in/uploads/auction_notice_liquidation/be871efd794497447fc4693775dd1dd1.pdf,"3,33,27,945","LEATHER INDUSTRY REL...LEATHER INDUSTRY RELATED - PLANT AND MACHINERY , RAW LEATHER ,  FINISHED GOODS",10-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755673188_8632.pdf
Issue of Auction Notice,20-08-2025,Pratibha Industries Limited,19-09-2025,Mr. Avil Jerome Menezes,https://ibbi.gov.in/uploads/auction_notice_liquidation/a34f6b191e921fffa86942e79b8bbf93.pdf,0,"Assignment of Not Re...Assignment of Not Readily Realisable Asset – 
Sale of 100% stake in Far Eastern Mining Construction Company Joint Venture (FEMC Pratibha JV) Excluding cash and bank balance and the VAT refund in the matter Commissioner of Trade and Taxes vs. FEMC Pratibha Joint Venture (Civil Appeal No. 3940 of 2024)
and
Assignment of Not Readily Realisable Asset-
1)	NCLT order dated 8th October 2024 in the IA 1420 of 2020- ‘PUFE Application’ for the amount of INR 233.25 Crores
2)	Appeal filed before the NCLAT against the NCLT order dated 8th October 2024 in the IA 1420 of 2020- ‘PUFE Application’ for the amount of INR 71.99 Crores",19-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755685428_8634.pdf
Issue of Auction Notice,20-08-2025,STERLING SEZ AND INFRASTRUCTURE LIMITED,15-09-2025,Mr. Avil Jerome Menezes,https://ibbi.gov.in/uploads/auction_notice_liquidation/1730d09aba769b048d5062ca6c54bdc8.pdf,"3,24,32,00,000","Sale of Corporate De...Sale of Corporate Debtor as a going concern as per regulation 32(e) of IBBI (Liquidation Process) Regulations,
2016",12-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755691760_8635.pdf
Issue of Auction Notice,19-08-2025,RELIABLE CASHEW COMPANY PRIVATE LIMITED,03-09-2025,Mr. Ravindra Beleyur,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-19-163316-e3fyt-e7fc9e9f495eaf4b817cb85c7f005fda.pdf,"1,06,00,000","(Asset Set 4) Sale ...(Asset Set 4) Sale of Commercial plot situated in Marakada Village, Mangaluru Taluk",01-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755602084_8621.pdf
Issue of Auction Notice,19-08-2025,WINDALS AUTO PRIVATE LIMITED,08-09-2025,CA Rajan Garg,https://ibbi.gov.in/uploads/auction_notice_liquidation/abf0c49360e769e1a08d66969e80a1f6.pdf,"9,98,61,983","Sale of Corporate De...Sale of Corporate Debtor, Windals Auto Private Limited, as a going concern except assets (including but not necessarily Plant & Machinery/Inventory/Scrap etc) lying at Chimbali , in terms of clause (e) of regulation 32 of the Insolvency and Bankruptcy Board of India (Liquidation Process) Regulations, 2016",06-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755617287_8589.pdf
Issue of Auction Notice,19-08-2025,RELIABLE CASHEW COMPANY PRIVATE LIMITED,03-09-2025,Mr. Ravindra Beleyur,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-19-163216-ibj9u-e7fc9e9f495eaf4b817cb85c7f005fda.pdf,"5,96,00,000","""(Asset Set 3) Sale ...""(Asset Set 3) Sale of Corporate Debtor as going concern excluding non-core assets and movable
assets at leased premises in Tamil Nadu(under Regulation 32(e) read with Regulation 32A) of Liquidation Process Regulations",01-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755602051_8620.pdf
Issue of Auction Notice,19-08-2025,RELIABLE CASHEW COMPANY PRIVATE LIMITED,03-09-2025,Mr. Ravindra Beleyur,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-19-163004-n6rsq-e7fc9e9f495eaf4b817cb85c7f005fda.pdf,"6,69,00,000",""" (Asset Set 2) Sale..."" (Asset Set 2) Sale of Corporate Debtor as going concern EXCLUDING  non-core assets (under Regulation 32(e) read
with Regulation 32A) of Liquidation Process Regulations""",01-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755602021_8619.pdf
Corrigendum,19-08-2025,SAHIL SPINTEX LIMITED,12-09-2025,Mr. Gurbinder Singh,https://ibbi.gov.in/uploads/auction_notice_liquidation/68e6ef4644c9705edc7c3246a1994200.pdf,"8,85,00,000",Entire Company with ...Entire Company with all assets as per E-auction Process documents on the going concern basis,10-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755583855_8616.pdf
Addendum,19-08-2025,AMW COMMERCIAL VEHICLE APPLICATIONS LIMITED,05-09-2025,Mr. Avinash Ambikaprasad Shukla,https://ibbi.gov.in/uploads/auction_notice_liquidation/c3e31928bbe004e6007ebcf17a9467ad.pdf,"8,60,00,000","Tools, Dyes, Moulds,...Tools, Dyes, Moulds, Truck Cabins, Rolling Machine",03-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755583643_8615.pdf
Issue of Auction Notice,19-08-2025,RELIABLE CASHEW COMPANY PRIVATE LIMITED,03-09-2025,Mr. Ravindra Beleyur,https://ibbi.gov.in/uploads/auction_notice_liquidation/e7fc9e9f495eaf4b817cb85c7f005fda.pdf,"12,46,00,000","""(Asset Set -1) Sale...""(Asset Set -1) Sale of Corporate Debtor as going Concern INCLUDING non-core assets (under Regulation 32(e) read
with Regulation 32A) of Liquidation Process Regulations""",01-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755602000_8618.pdf
Issue of Auction Notice,19-08-2025,Silverton Spinners Limited,18-09-2025,Mr. Pratim Bayal,https://ibbi.gov.in/uploads/auction_notice_liquidation/6de73174eab5583b51b9fbe7d5587dbf.pdf,"20,00,00,000","Option 1- Entire Cor...Option 1- Entire Corporate Debtor as a going concern under Regulation 32 (e) read with Regulation 32A
Option 2- Plant & Machinery 
Option 3- Land & Building",15-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755585262_8617.pdf
Issue of Auction Notice,19-08-2025,RELIABLE CASHEW COMPANY PRIVATE LIMITED,03-09-2025,Mr. Ravindra Beleyur,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-19-163316-e3fyt-e7fc9e9f495eaf4b817cb85c7f005fda.pdf,"1,06,00,000","(Asset Set 4) Sale ...(Asset Set 4) Sale of Commercial plot situated in Marakada Village, Mangaluru Taluk",01-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755602084_8621.pdf
Issue of Auction Notice,19-08-2025,RELIABLE CASHEW COMPANY PRIVATE LIMITED,03-09-2025,Mr. Ravindra Beleyur,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-19-163216-ibj9u-e7fc9e9f495eaf4b817cb85c7f005fda.pdf,"5,96,00,000","""(Asset Set 3) Sale ...""(Asset Set 3) Sale of Corporate Debtor as going concern excluding non-core assets and movable
assets at leased premises in Tamil Nadu(under Regulation 32(e) read with Regulation 32A) of Liquidation Process Regulations",01-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755602051_8620.pdf
Issue of Auction Notice,19-08-2025,RELIABLE CASHEW COMPANY PRIVATE LIMITED,03-09-2025,Mr. Ravindra Beleyur,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-19-163004-n6rsq-e7fc9e9f495eaf4b817cb85c7f005fda.pdf,"6,69,00,000",""" (Asset Set 2) Sale..."" (Asset Set 2) Sale of Corporate Debtor as going concern EXCLUDING  non-core assets (under Regulation 32(e) read
with Regulation 32A) of Liquidation Process Regulations""",01-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755602021_8619.pdf
Issue of Auction Notice,19-08-2025,RELIABLE CASHEW COMPANY PRIVATE LIMITED,03-09-2025,Mr. Ravindra Beleyur,https://ibbi.gov.in/uploads/auction_notice_liquidation/e7fc9e9f495eaf4b817cb85c7f005fda.pdf,"12,46,00,000","""(Asset Set -1) Sale...""(Asset Set -1) Sale of Corporate Debtor as going Concern INCLUDING non-core assets (under Regulation 32(e) read
with Regulation 32A) of Liquidation Process Regulations""",01-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755602000_8618.pdf
Issue of Auction Notice,19-08-2025,Silverton Spinners Limited,18-09-2025,Mr. Pratim Bayal,https://ibbi.gov.in/uploads/auction_notice_liquidation/6de73174eab5583b51b9fbe7d5587dbf.pdf,"20,00,00,000","Option 1- Entire Cor...Option 1- Entire Corporate Debtor as a going concern under Regulation 32 (e) read with Regulation 32A
Option 2- Plant & Machinery 
Option 3- Land & Building",15-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755585262_8617.pdf
Corrigendum,19-08-2025,SAHIL SPINTEX LIMITED,12-09-2025,Mr. Gurbinder Singh,https://ibbi.gov.in/uploads/auction_notice_liquidation/68e6ef4644c9705edc7c3246a1994200.pdf,"8,85,00,000",Entire Company with ...Entire Company with all assets as per E-auction Process documents on the going concern basis,10-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755583855_8616.pdf
Addendum,19-08-2025,AMW COMMERCIAL VEHICLE APPLICATIONS LIMITED,05-09-2025,Mr. Avinash Ambikaprasad Shukla,https://ibbi.gov.in/uploads/auction_notice_liquidation/c3e31928bbe004e6007ebcf17a9467ad.pdf,"8,60,00,000","Tools, Dyes, Moulds,...Tools, Dyes, Moulds, Truck Cabins, Rolling Machine",03-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755583643_8615.pdf
Issue of Auction Notice,19-08-2025,WINDALS AUTO PRIVATE LIMITED,08-09-2025,CA Rajan Garg,https://ibbi.gov.in/uploads/auction_notice_liquidation/abf0c49360e769e1a08d66969e80a1f6.pdf,"9,98,61,983","Sale of Corporate De...Sale of Corporate Debtor, Windals Auto Private Limited, as a going concern except assets (including but not necessarily Plant & Machinery/Inventory/Scrap etc) lying at Chimbali , in terms of clause (e) of regulation 32 of the Insolvency and Bankruptcy Board of India (Liquidation Process) Regulations, 2016",06-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755617287_8589.pdf
Issue of Auction Notice,18-08-2025,Jejani Pulp and Paper Mills Private Limited,08-09-2025,Mr. Prasad Kamalakar Dharap,https://ibbi.gov.in/uploads/auction_notice_liquidation/5833741d67b41f7f89d730ecd6edc578.pdf,0,"Not Readily Realisab...Not Readily Realisable Assets (""NRRA"")",25-08-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755511866_8613.pdf
Issue of Auction Notice,18-08-2025,GRD TRUCKS PRIVATE LIMITED,15-09-2025,Mr. Vijay Kishore Saxena,https://ibbi.gov.in/uploads/auction_notice_liquidation/1603eb71cba4bc8ac68e29545ae61ecb.pdf,"50,50,000.00",Sale of the assets o...Sale of the assets of the corporate debtor as a Going Concern,12-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755508572_8612.pdf
Issue of Auction Notice,18-08-2025,G S Biotech Limited,30-08-2025,Mr. Chillale Rajesh,https://ibbi.gov.in/uploads/auction_notice_liquidation/2025-08-18-105507-vsylp-11b0e044584a24b357a50f102ba7724b.pdf,"44,95,00,000","The Corporate debate...The Corporate debater as a going Concern. 
2138 acres of land in 41 villages of Adilabad, Komarambhem & Asifabad dist of Telangana State & 190acres of land in 2 villages of Nanded distof Maharastra state. (please referto e-auciton process document & VDR forcomplete details",29-08-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755494707_8606.pdf
Issue of Auction Notice,16-08-2025,NEW HIND SILK HOUSE PRIVATE LIMITED,04-09-2025,Mr. Binay Kumar Singhania,https://ibbi.gov.in/uploads/auction_notice_liquidation/5b68dedd2244e0e6a59f1468b1504ddc.pdf,"6,30,00,000","Sale of Furniture & ...Sale of Furniture & Fixtures(Only fixed furniture), Plant & Machinery which
consists of two nos Computer, Office Equipments and inventories at
111A, Park Street, 2nd Floor, Kolkata, West Bengal, India,
700016along with sale of some Non-current assets along
with Short term & Long term loans and advances along
with other current assets- 1. Investment in shares of
Unlisted Public Companies 2. Deferred tax assets 3. Long
term loans & advances 4. Security deposits 5. Trade
Receivables 6. Short term loans & advances Cash & Cash
Equivalents",02-09-2025,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1755329704_8611.pdf
